,Titulo,Temple anímico,Letra
21,Uno es así,"['Pena', 'Soledad', 'Amargura', 'Culpa\nMotivo lírico: Abandono ']","Vuelen gaviotas a ver lo que el viento dejo
despues de aquel verano 
muevan palmeras tambien si pueden alegrar
lo que esta marchitado
y un hombre descuidado, que no le dio el valor 
a una mujer llorando, que tanto tiempo lo amo
a una mujer llorando, que tanto tiempo lo amo

Pero un silencio elocuente puso de presente
 la nueva situacion 
por que el penso encontrarla normalmente
 y aquel adios le hizo bajar la frente, quiso llorar



 y se aguanto tratando de ser fuerte 
pero el dolor le obliga interiormente, no pudo mas 

Fallan las fuerzas de un hombre, se cierran sus ojos, se siente morir, 
porque al terminar el goce, se siente muy solo, y ella es muy feliz
porque al terminar el goce, se siente muy solo, y ella es muy feliz
 
Tanto amor por ella, que no me da pena 
ay que a mi me vean


que a mi me vean, que estoy sufriendo es por ella
que a mi vean, que estoy sufriendo es por ella

Pasen los meses volando para con los años
salir de esta amargura
yo reconozco lo malo pero un hombre sano
tan solo quiere a una
 
Yo la estoy adorando, mi fortuna es ninguna 
con devocion reclamo, Virgen del Carmen tu ayuda
con devocion reclamo, Virgen del Carmen tu ayuda

Hoy estara en otros brazos tal vez disfrutando, tal vez recordara 
recordara mis besos mi entusiasmo
olvidara la vez en que escapamos, tiempo feliz 
yo reconozco que no valoramos
 cuando es preciso el amor lo negamos, uno es asi

Es bueno que me suceda es la mejor manera para razonar 
que no era la compañera con la que uno sueña con quien vivira
que no era la compañera con la que uno sueña, con quien vivira

Tanto amor por ella…

que a mi me vean, que estoy sufriendo es por ella…
"
22,Adiós mi primer amor,"['Despecho', 'Martirio']","Como nacen del dolor mil destellos de ilusion
y de una espina una flor nacio del martirio este canto
hoy comprendo que sufrir nos da fe y resignacion
y se enseña al corazon a no padecer desencantos


Adios mi primer amor


Datos  
identificadores

Autor: Tomas Dario Gutierrez
Interpretacion: Freddy Peralta & Poncho Lopez
Album/Año: Embrujo de acordeon ()
Sello discografico/Serial: CBS --

Expresion lirica, 
poetica  
y musical

Temple animico: Despecho; Martirio
Actitud lirica: Carminica; Apostrofica
Figuras literarias: Metafora; Hiperbole; 
Simil; Apostrofe; Prosopopeya
Ritmo/Tempo: Paseo / Normal
Sentimiento estetico: Muy alto

Enlace para  
escuchar canto

https://www.youtube.com/watch?v=eRHPLROoGA

Bien mujer sigue tu rumbo sin mi, 
y en mi senda tu huella se borro
si de mi no quisiste ni el perdon, en el alma me lo guardo

Amaras, a quien profane en tu alma mi tumba
amare, los suspiros que destruyan tu nombre
madre de mi amor sublime eres tu
ya que el sueño que hoy es vana ilusion
el jardin donde florecio el dolor y de mi llanto de hombre

Adios mi primer amor, adios sueños sin vivir
un dia me hiciste feliz como lo anhelaba yo tanto
luego me hiciste sufrir, fuiste todo para mi
masacraste una ilusion te hiciste mi risa y mi llanto

hoy pago el suplicio eterno de amar
la condena de todo hombre que es fiel
el error de bendecir la mujer y el pecado de adorarte

Amaras, a quien profane en tu alma mi tumba
amare, los suspiros que destruyan tu nombre
amo al viento que se lleva tu voz
el camino que tu adios me trazo
la experiencia que me dio tu traicion
y aquel vano juramento
"
23,El adiós,"['Desconsuelo', 'Nostalgia']","Ya casi esta amaneciendo 
y solo se oye el rumor 
que deja el pasar el viento 
y entonces yo siento 
que mi corazon 

Se me quiebra en mil pedazos 
hasta me tiembla la voz
y aunque la tenga en mis brazos 
siento paso a paso que aumenta el dolor
y aunque la tenga en mis brazos 
siento paso a paso que aumenta el dolor




Porque tengo que marcharme 
alejarme de mi amor 
y aunque quisiera quedarme 
tengo que decirle adios.

Adios, adios, adios mi amor 
nunca me olvides mi negra 
me llevare tu corazon 
y te dejo mi alma buena .

Asi rendida en mi pecho
sollozando amargamente 
me dijo en son de reproche
 ¡por Dios! que esta noche quisiera la muerte 

Pierde sentido la vida
cuando se aleja el amor
Ya con la calma perdida y el alma partida 
llora el corazon .

Ahora que mas la queria 
con todo mi corazon 
se acaba la vida mia 
al darle mi triste adios. 

Adios, adios, adios mi amor… 
nunca me olvides mi negra 
me llevare tu corazon 
y te dejo mi alma buena .
"
24,El verdadero culpable,"['Desconsuelo', 'Nostalgia']","Yo iba a buscarte aquel dia, de un cielo pardo y oscuro 
hablarte de mi ultima pena, confidente y amiga 
en mi alma nunca morian, las esperanzas que el tiempo 
te hicieran recoger la queja, de mi amor en silencio. 

Yo iba a buscarte aquel dia, llevaba un presentimiento 
tu novio encontraba la forma, de que yo no te viera, 
sabia que yo te queria, y tu no te dabas cuenta 
me dolian tus encantamientos, y el siempre te mentia.

Por que
: las piedras se atravesaron, por que 
Calle,
: no queria mirarte herida quizas. 



Yo no pude creer, que tu hubieras tenido que partir 
donde esta la razon, el secreto murio con tu adios 
no hubo tiempo e´ gritar, me atraganto con mi confesion 
tanto amor para que, si entregaste tu vida a un don Juan. 

Donde estara el verdadero culpable de un destino tan cruel 
yo sufria tanto al mirarte entregada y el se reia de ti 
yo no podia ni siquiera decirte el te va a hacer morir 
y ahora que vives en mi pensamiento lo puedes comprender. 


Yo no te olvido, te llevo siempre
 vives conmigo, aqui en mi mente
vives conmigo, aqui en mi mente.

Yo iba a buscarte aquel dia, se oscurecio mas la tarde 
el mismo aguacero deseaba impedirme el camino, 
era tan negro el presagio, que fui a encontrarte durmiendo 
el sueño de aquellos que esperan, despertar en lo eterno. 

Yo iba a buscarte aquel dia, queria desahogar mi pecho 
sabiendo que era un imposible, cambiar tu sentimiento 
ya tu alma no se aguantaba, tanto desprecios y engaños 
que quiso volar escondida, y guardar su secreto. 

Por que
: el tiempo se robo tu juventud, 
adios,
 : que seas lo que aqui no pudiste ser. 

Yo se que ahora estaras, en el cielo cuidando mi andar 
mas cerquita de mi, sintiendo cada paso que doy 
cuanto me hace vivir, que tu espiritu pueda escuchar 
mis canciones, mi voz, y las penas de mi corazon. 

Donde estara el verdadero culpable de un destino tan cruel… 

Yo no te olvido, te llevo siempre…
"
25,Gaviota herida,['Pena'],"Ay! que buscas tu en mi alma
ay! que quieres mi vida de mi
no ves que ya no hay nada
que no hay palabras que decir

O acaso se te olvidan
ay!, tus manos diciendome adios
como es que no recuerdas
mis ojos llorando tu amor

Que desde aquel momento
siento que vivo del dolor
y le ha quitado fuerza
al viento y a mi corazon

Aun recuerdo la gaviota
que volo un dia llevandose entre sus alas
el alma mia y me hizo llorar

Sabia que la amaba tanto
quien no sabia cuando la estaba adorando
cuanto sentia y se echo a volar

y una gaviota linda yo vi alejar
llevandose mi vida, mi vida y mas (bis)




Quedo sin una estrella el cielo por ti
y la noche en tinieblas fue mi vivir
alguien dijo en la tarde se oyo el gemir
de un hombre muy solitario por su sentir

Solo por la gaviota que un dia volo
y se llevo mi vida mas que se yo (bis)

Dicen que el que se aleja
mas facil se le hace olvidar
pero aquel que se queda
siempre el recuerdo vivira

De tanto sentimiento
ay! el alma quiso doblegar
y el corazon sufriendo
queriendo el recuerdo matar

Hasta la piel me siento
que el sol me quemo sin cesar
testigo fue el silencio
que el llanto me hizo desahogar

Se que en las playas del mar
las olas mueren y otras tambien volveran
por muy rebeldes tambien moriran

Has llegado a tu final
y eso me duele se que muy triste estaras
tambien me hiere pero es el final

adios gaviota herida vuelve a volar
solo tu llanto libre te aliviara (bis)

Siempre se rie y se llora por un amor
porque de alguna ausencia nace el dolor
aunque con la esperanza va la ilusion
queda una honda herida en el corazon

Solo por la gaviota que un dia volo
y se llevo mi vida mas que se yo

: Solo por la gaviota
que se llevo mi vida mas que se yo ( veces)
"
26,La última vez,"['Pena', 'Pesar', 'Amargura']","y canciones ()
Sello discografico/Serial: Sony -

Expresion lirica, 
poetica  
y musical

Temple animico: Pena; Pesar; Amargura
Actitud lirica: Carminica; Apostrofica
Figuras literarias: Metafora; Hiperbole; 
Apostrofe; Anafora
Ritmo/Tempo: Paseo / Lento
Sentimiento estetico: Muy alto


Enlace para  
escuchar canto

https://www.youtube.com/watch?v=kypHFdXjNw



Donde esta el sol, que Dios me dio, que ilumino, tantas mañanas en mi
hoy no salio, vean como estoy, cual redentor, que un dia se nego a vivir

Tu, tu me quitaste la vida mi reina
tu, cuando dijiste aqui todo termina
yo, yo siempre puse en tu fuego mi leña
y tu, solo pusiste en mi herida la espina

: Señor, señor,
 yo nunca la hice sufrir
: por que, por que, 
me tuvo que lastimar

: hay Dios, hay Dios
como la quisiera herir
: pero, mejor,
 hecho la piedra en el mar




Y me mato, la vida y no mas,
 y me mato, ya siendo un mortal 

Dijo me queria, tanto me adoraba
puso de testigo a mi Dios
viento a sus promesas, ojos a sus palabras
y juro ante Cristo el creador 

Y me mato, la vida y no mas,
 y me mato, el alma quizas
Y me mato, la vida y no mas,
y le quito el alma a un mortal

La ultima vez, que pasos doy, por un amor, que tanto llevaba en mi
hoy la razon, vencio el dolor, no salio el sol, ya nunca volvio a salir


si, la ultima vez que mis labios te nombran
y, la ultima vez que mis ojos te lloran
y, aunque me toque vivir en las sombras
tu, ya nos sabras lo que un hombre te adora

Señor, señor me marcho lejos de aqui
por que, por que, no la quiero lastimar
¡ay! Dios, mi Dios, para que la voy a herir
mejor, mejor, hecho la piedra en el mar

Y me mato, la vida y no mas,
 y me mato, ya siendo un mortal 

Dejo otro camino, y ha sido mi vida
 tengo de testigo a mi Dios
se estremecio el cielo, mi alma entristecida
pero solo queda un adios 

Y me mato, la vida y no mas,
 y me mato, el alma quizas
Y me mato, la vida y no mas,
y me mato ya siendo un mortal
"
27,"Lloraré

Expresión lírica, 
poética  
y musical

Enlace para  
escuchar canto

Enlace para  
escuchar  
declamación","['Pena', 'Angustia', 'Congoja']","Deja, dejame decirte negra 
si ya te alejas, si ya te vas 
quiero, quiero decirte al oido 
cuanto en la vida, mi dolor sera 

Ya me ire, como el rio que en turbulencia va 
en camino corriendo hacia el mar 
y nadie lo puede detener 
llorare, cual los hombres que sinceros son 
cuando no los quiere una mujer 
y en sus noches gime el corazon 




Volvere, volvere 
cuando ya con el tiempo destruye el veneno malevo 
que fue tu querer 
y en el cielo un lucero lejano 
me indique, me diga, ya puedes volver 

¡Ay! se infinita de besos, entre suspiro y suspiros 
¡ay! se infinita que crece, hoy no te encuentras conmigo 

Crece, crece la angustia dormida 
y astillas en mis ojos no me dejan ver 
tu eres, tu eres la unica culpable 
que viejos anhelos ya no puedan ser 

Llorare, cual las piedras que animadas estan 
silencioso sin consuelo estoy 
añoranza mis cantos seran 

Llorare, cual los hombres que sinceros son 
cuando no los quiere una mujer 
y en sus noches gime el corazon 

Partire, partire 
hacia tierra lejana del mundo 
galope tendido sin ningun control 
donde solo las aves del campo 
escuchen mis cuitas, mis versos de amor 

¡Ay! se infinita de besos, entre suspiro y suspiros 
¡ay! se infinita que crece, hoy no te encuentras conmigo 
"
28,Migajas de amor,"['Nostalgia', 'Soledad', 'Resignación']","Cada dia te canto con el alma
como no he de cantarte si eres para mi
como el ave que trina en mis mañanas
como el canto del agua en su alegre desliz.
Como el tiempo terrible en su nostalgia
me marchitaba el alma sin saber de ti
te alejabas te me ibas escapando
entre cristal de llanto te mire partir.

Tu has logrado
: hacer de mi soledad mi compañera
y hoy cansado
: se adormece mi esperanza ante tu adios.


 



Pero no regreses nunca por favor
si por lastima me quieres consolar
no recojas las migajas de un amor
si este amor de pronto un dia te hara llorar.

No, no te preocupes mi negra
busca, tu  nuevo amanecer
mis, versos seguiran tus huellas
pero yo no te perturbare.

No, no no yo no te perturbare
No no no no si lo hago es por tu bien.

No hay camino en que no escuche tu risa
muy despacio o aprisa siempre te espere
en el alma de cada margarita
o en la rosa marchita alli te encontrare.

Te confieso que me arrancas la vida
con esta despedida que nunca espere
pero pienso que si este adios te alivia
ofrendare mi vida solo por tu bien.

Solo ruinas
hallaran en un rincon, dentro de mi alma
golondrinas
ya veras una esperanza sin valor

Pero no regreses nunca por favor…

No, no te preocupes mi negra…

No, no, no yo no te perturbare…
"
29,No era el nido,"['Amargura', 'Decepción']","Prestame un poco de aliento, pa’ seguir viviendo mujer 
dale mas fuerza a mi pecho, que no tiene nada, que no tiene nada 

Baja la luna y alumbra la niebla de mi alma 
pa’ no acordarme mas nunca, de ti aunque te amara, 
de ti aunque te amara. 

Prestame un poco de nubes, cargada de lluvia, mujer 
pa’ regar mi alma desierta, que perdio su sombra 
un amanecer 

hoy volveras a tu vida, seras de tu barrio otra vez 
yo me quedo sin el bello jardin de jazmines 
que un dia cultive. 

Dile a tu consejera que muchas gracias 
se cree perfecta pero no es nada 
rompio la dicha que te queria brindar 





Dile que la ruleta no se ha parado 
que el mundo tiene giros extraños 
ojala el cielo la pueda perdonar 

Siempre, siempre voy quedando en el camino 
siempre, siempre hay cultivo y no hay cosecha 
siempre, siempre hay cultivo y no hay cosecha
Ya no importa no era el nido mio 
ya no importa no era el nido de ella 
 
Prestame un poco de brisa, que ahuyente mis penas mujer 
devuelve el sol a mi vida, que anda tropezando 
que anda tropezando 

Me he sentido tan perdido, que ya ni me acuerdo quien soy 
pero morire enseguida, si sigo esperando 
si sigo esperando 

Prestame los angelitos, que un dia me cuidaron mujer 
que no han dejado vencerme, despues de los golpes 
que el amor me ha dado 
Tu, no quisiste que este hombre, tuviera ilusiones tambien 
yo mire siempre pa’ rriba, mire cosas lindas 
tu siempre pa’ bajo 

Cuentale a la princesa que tu veneras
 que yo te quise hacer una reina 
que te adoraba con todo el corazon 

Cuentale mensajera de sentimientos 
ay! que los dos viviamos contentos 
hasta cuando ella impuso su condicion 

Siempre, siempre voy quedando en el camino 
siempre, siempre hay cultivo y no hay cosecha 
siempre, siempre hay cultivo y no hay cosecha

Ya no importa no era el nido mio 
Ya no importa no era el nido de ella.
"
30,No te conmoveré,"['Pena', 'Confusión']","No se que has de pensar no se que dejaras 
en esta triste historia donde esta nuestro ayer 
ni si me vieras llorando este final 
ya no es posible no te conmovere

Miro el camino sin esperanza ya
soy el viajero que no quiere seguir 
ya no hay motivos porque tu amor no esta 
no hay ilusiones ni ganas de vivir
 
Y volver a cantarte seria inutil 
o volver alejarme es un error 
es mejor comprobar que aun soy tuyo 
aunque aun me destroce el corazon





Y hoy dejas un silencio 
queda un eco triste al viento 
y hoy dejas este olvido 
que quiere acabar conmigo
y hoy dejas este olvido 
que quiere acabar conmigo

Cual ha sido mi error no lo puedo entender 
no hay palabras te vas, no quieres responder

Y hoy dejas un silencio…

Los recuerdos se van y volveran por mi 
y habra mucha tristeza antes de comprender 
que en todo hay un final que la vida es asi 
y aunque un adios nos duela 
no hay que perder la fe 

Aferrado a tu amor yo se que te adore 
con un amor profundo del que no tengo mas 
sin presentir jamas que te podia perder 
tan solo habian mil sueños que quise realizar 

Con que voy a seguir con que coraje 
y la gente no entiende mi dolor 
no hay palabras te vas ya no hay palabras 
no me quieres decir cual fue mi error

Y hoy dejas un silencio… 

A llegado el final se ha acabado este amor 
no quieres ni escuchar  ya no hay ni compasion

Y hoy dejas un silencio… 
"
31,Tristeza,"['Pena', 'Pesar', 'Desconsuelo']","La tristeza es negacion de alegria
es la mas negra expresion de un sentimiento
 mas que noche oscurece nuestros dias
cambia el cielo por infierno en un momento

Hay que triste recordar aquello dias
tu contabas mil estrellas en mi pecho
y borracho de amor yo me sentia
yo conte los mil lunares de tu cuerpo 
 
Fue mi pecho el que se empeño
 en revivir aquel cariño
pero hoy que tu amor ya murio
 ahora quedo yo destruido





Porque el dia que tu te fuiste me quede llorando 
y el recuerdo de tus labios se grabo en mis labios 
y el perfume de tu piel quedo untado en mi piel 

Y el color de tus ojitos lo baño mi llanto
 y el calor de tus caricias  en mi quedo vagando 
y mi cuerpo solo ansia tu cuerpo de mujer.

Yo no niego que conmigo fuiste buena
 cariñosa y comprensible compañera
pido a Dios, aunque se que no estas conmigo
que la flor de tu pureza no se pierda 

Ya cansado de rogarte te he explicado
 que he cambiado que ya no soy el de antes
que un adios con mil canciones yo te traigo,
 pisoteado el corazon que destrozaste 
 
Fue mi pecho el que se empeño… 
Porque el dia que tu te fuiste me quede llorando…

Y el color de tus ojitos lo baño mi llanto… 
"
32,Ahí vas paloma,"['Despecho', 'Indignación']","Yo he perdido por ti hasta mi suerte
yo he perdido por ti todos mis dias
me propuse entenderte como fuera
pero no resulto vean que manera
de acabar con lo poco que tenia.



Yo sufri hasta alcanzar pisar mi orgullo
yo pense que tu vida era distinta
eras un huracan de sentimiento
me senti enamorado, tan contento
que hasta quise creerte tus mentiras.

Y ahi vas paloma, ya rompiste hasta el alma de mi alma
buscando rumbo, otro pecho otro amor otra herida
quien te detiene, eres dueña del mundo que matas
hasta el mas fuerte, tu deseo de venganza termina.


Vuelve el canto de un autor, intentando ser feliz,
 pa’ olvidar la que marcho, y volver a sonreir
y ahi vas paloma, con mi cariño
que nadie sepa que me destrozaste el nido (bis)

Yo espere hasta el final si es que cambiabas
tu manera de amarme con reproche
pero me fui imposible dominarte
todo lo que te di, tanto adorarte
se quedo en un rincon aquella noche

Yo deseo que el destino te sea eterno
pa’ que puedas mirar tu propia estrella
pa´ que nunca te mueras y tengas tiempo
de pode arrepentirte ante tu espejo
porque es tu vanidad ser la mas bella.

Y ahi vas paloma, a dañarle el camino a otra gente
quien pueda amarte, todos saben que eres una reina
linda tu cara, pero tienes un tempano adentro
yo que te quise, y no pude evitar que te fueras.

Vuelve el canto de un autor, intentando ser feliz
pa’ olvidar la que marcho, y volver a sonreir
y ahi vas paloma, con mi cariño
que nadie sepa que me destrozaste el nido 
"
33,Así fue mi querer,['Pesar'],"Muere lentamente, muere un querer 
amanece un nuevo dia y estoy muy resentido de tu proceder 
como hojas secas del arbol que caia en verano 
humilladas por la brisa se ven rodar 

de igual manera he quedado yo
 rodando solo con mi cantar (bis). 

En lo alto de la montaña, solo hay silencio, el viento es fresco 
y cuando hay tiempo de lluvia, las nubes besan la punta ´el cerro 
rumores de melodia, solo se escuchan de ese romance
 limpio como es la nevada, brillante como la luz del dia. 





Y asi fue mi querer pero tu no le diste el valor 
todavia no sabes comprender lo que vale un amor. 
vivire como el pajaro aquel que se aleja buscando un hogar 
como el viento que pasa y se va y no regresa jamas. 
 
Ya no volvere a cantar para ti 
porque estoy desengañado del comportamiento
 que hoy me has dado a mi 
ya no mirare tus ojos de mirada triste 
son los ultimos momentos que pienso en ti 

Ahora soy libre y quiero cantar
 siento un alivio dentro de mi (bis). 

En lo alto de la montaña solo hay silencio el viento es fresco… 

Y asi fue mi querer pero tu no le diste el valor… 
todavia no sabes comprender lo que vale un amor. 
y si quieres volver no por Dios solo ruina hallaras 
y es mejor que te vayas muy lejos de mi tengo nueva ilusion.
"
34,Doblaron las campanas,"['Resignación', 'Amargura', '\nDespecho']","Quien preguntara por mi, despues que me fui
a perderme en mi andar 
Quien me contara de ti, si sufres el dolor
 el que hoy me hace mortal 

Esta vez, esta vez ya no hay claros de luna 
esta vez, esta vez no saldra el sol de siempre 
que triste quedare si nunca vuelvo a verte 
y me toca apagar las estrellas una a una 

Ay! dime si no es cierto que vivi por ti 
y que tu me has dado tan solo sufrir 
pisaste las flores que habia en mi jardin 
era lo mas lindo que habia para mi 

Caminare como un errante al fin
hasta encontrar quizas mi propio fin 
yo buscare como olvidar de ti
 que puedo hacer si lo quisiste asi 

 



si no hubiera metido mis manos al fuego
 no me quemaria 

Aun tengo aqui en mis manos
 el agua que regaba rosas que eran mias 
pero ya doblaron campanas en mi alma mi amor se moria 


Yo no conoci el perdon por Dios
no la puedo perdonar Señor  

Es de noche ya, lo ves, la tarde se acabo
se tenia que acabar 
mira en mi reloj, ya ves, que va a amanecer
 pronto amanecera 

Dime ya, dime ya, lo que vas a decirme 
dimelo de una vez que me espera un camino 
se canso de pedir la limosna el mendigo 
y todo aquel que da algun dia algo recibe 

Ay! quiso detenerme, lo vi en su mirar 
dijo iba a adorarme, que lo iba a intentar 
pero yo oi doblando, las campanas ya 
tenia que marcharme, era su final 

Caminare, como un errante al fin
,hasta encontrar, quizas mi propio fin 
oh cielo azul, que tienes para mi
 no me daras mas nunca otro sufrir 

Ay! si tu me hubieras dicho que aqui todo terminaba
 ya yo no seguia 
si no hubiera metido mis manos al fuego
 no me quemaria 

Ay! todavia tengo en mis manos
 el agua que regaba rosas que eran mias 
pero ya doblaron campanas en mi alma mi amor se moria 

Ay! si tu me hubieras dicho que aqui todo terminaba
 ya yo no seguia 

No te puedo perdonar por Dios, pa’ mi bien o pa’ mi mal Señor 
.
"
35,El camino que no llega,"['Pena', 'Decepción', 'Despecho ']","Un dia que pasa igual otro mas sin verte
el cielo quedo manchado de negro y gris
me vienen tantas locuras al pensamiento
que a veces quiero gritarte y morir
y morir por ti

Quien llevo canciones frente a tu ventana
quien te dijo que me tenias que olvidar
esa luna clara en mi noche amarga
me recuerda que me tengo que marchar



Mira como ha sido mi vida que intente pa´ adorarte pero me ofendieron
lastimado del sentimiento que verti en un chorro y no me quedo nada
hoy que se me acaba el tiempo ´ vivir alegre, debo ser sincero
tengo que buscar alivio buscar otro rumbo y refrescar el alma


Yo no se amor mio si tu me olvidaste
solo se que me toca seguir mi camino
el camino que no llega es amarte y no entenderte
es buscar en cada verso un suspiro musical
el camino que no llega es amarte y no entenderte
es buscar en cada verso un suspiro musical

Un dia que viene y yo me voy para siempre
el mundo que invento el hombre es tan duro y cruel
no trates de disculparte ya no hay remedio
si pides que te abandone, razones las tendras mujer

Suena esa guitarra quiero desahogarme
tengo al menos la esperanza de soñar
llora ese arco iris, lagrimas rosadas
nunca esperes que te venga a suplicar

Alguien estara esperando 
que yo aqui enredado en este sentimiento
yo voy a cambiar de estilo
conseguir amores de un mes y me pierdo

Yo que te vi enamorada 
pero no alcanzaba pa´ luchar conmigo
mi hermanito un dia me dijo
yo estoy tranquilito, sigue mi consejo
Yo no se amor mio si tu me olvidaste…
"
36,El mártir,"['Decepción', 'Despecho']","Le pidieron centavos de oro
, le pidieron la vida completa 
y el se la entrego, la entrego 

No habia noche que no la esperara
en un parque cerca de su casa 
y alli se quedo, se quedo 

Le pidieron cantar sus canciones
y enseguida cogio su guitarra 
empezaba a soñar con su voz 

Si la luna pedia se la daba
no habia nada, nada le entregaba
 la luna y el sol, es el sol 

El martir suspiraba alla en la arena
el martir no pensaba en el dolor 
quiza lo quiso tanto que su vida
mas nunca fue la misma, se acabo 




Y en la iglesia ya se va a casar
 con un hombre distinto por que 
no se puede entregar el corazon
le habia dicho su madre una vez 

Por que lo hiciste
yo jamas pedi que me adoraras 
porque te obligaron a mentirme
y que pude hacerles yo 

Por que Dios mio
 si era tan dificil engañarme 
ojala tu seas feliz y nadie
 te haga pagar tu traicion 

El martir, solitario se va
mas nunca vuelve a creer en el amor (bis) 

Le pidieron besar el silencio
y corria a buscar el camino de la soledad, soledad 
los momentos mas lindos vivia
el creyo ser la envidia de todos
 y ese fue el error de un mortal

Le pidieron borrar su inocencia
 y empezo a conocer la malicia
a olvidarse de Dios, de su Dios 
no queria ni acordarse del pueblo
los amigos nobles y sinceros
 el los olvido, se olvido 

El martir llora herido su tristeza
el martir de su historia es perdedor 
quizas el dia que supo la noticia
 su risa para siempre se apago 

Y en la iglesia guirnaldas se ven
y a una novia le dan bendicion 
no entendia como pudo fingir
porque fue de tan mal corazon 

Por que lo hiciste, yo jamas pedi que me adoraras…

El martir, solitario se va…
"
37,"La dama del ajedrez

Poema","['Decepción', 'Despecho', '\nAmargura']","Datos  
identificadores

Autor: Efren Calderon
Interpretacion: Beto Zabaleta & Orangel 
(Pangue) Maestre
Album/Año: Dios y yo ()
Sello discografico/Serial: Sony -

Expresion lirica, 
poetica  
y musical


Temple animico: Decepcion; Despecho; 
Amargura
Actitud lirica: Carminica
Figuras literarias: Metafora; Hiperbole; 
Apostrofe; Ironia
Ritmo/Tempo: Paseo / Normal
Sentimiento estetico: Muy alto

Enlace para  
escuchar canto

https://www.youtube.com/watch?v=dsClANoHJE



Me alejo de ti 
el silencio es mi palabra ya puedes imaginarte que siente el corazon 
ayer comprendi 
que tuve solo el camino que pise en mi propio paso fui quien puso el 
amor 

Yo fui quien te puso tu cielo de azul 
fui yo quien te puso ese verde tu mar 
y tu tantas cosas pudiste pintar 
y solo el dolor supiste dibujar 

Por que tu, talento de señora cual maestro que se juega la vida
en el ajedrez 
mientras yo, aprendiste apenas damas me invitaste a que 
jugara y por eso jugue 

presenti, al final de la partida mirar el rey como caia y me 
toco perder 
por que asi, son las cosas de la vida lo que mas a uno se mira 
mas duro se da al caer 
 / 
Con tanto sol porque tan ciego yo fui 
con tanto sol que brillaba en mi verdad  


Y si tengo que morir ,de frente al sol, no he de quejarme
 yo aprendi de mi valor, nunca le temi al dolor, no soy cobarde. 
 / 
Con tanto amor vine a  este mundo a sufrir
con tanto amor vine a este mundo a llorar 

Asi un dia aprendi 
que camino por la vida, con el dolor en mi herida, camine bajo el sol 
sintiendo morir 
pero alla en el firmamento, quedaba la ultima estrella, que me puso a vivir 

Ya no te dare para ti el cielo azul 
ya nunca tendras el verde de aquel mar 
pintor que sabe su pincel manejar 
el mismo cuadro nunca vuelve a pintar 

Y ahora tu, talento de señora insinuas otra jugada pero yo no aceptare 
como voy, a volver a jugar dama despues de haber aprendido a jugar el ajedrez 
con dolor, aqui dentro de mi alma la vi entonces que lloraba y casi doblegue 
pero yo, recuerdo que ella ganaba se reia de mi jugada y no lo olvidare
 / 
Con tanto sol porque tan ciego yo fui 
con tanto sol que brillaba en mi verdad (bis) 

 Dicen que antes de morir, todo malo por temor quiere confesarse 
por que me pides perdon, tu sabes que no soy, ya puedes marcharte 
 / 
Con tanto amor vine a este mundo a sufrir 
con tanto amor vine a este mundo a llorar 
"
38,No más cadenas,"['Desolación', 'Pena', 'Despecho']","Dijo que esperara en el camino 
cual camino, si todo ha terminado 
confundio mi sangre con el vino 
no siendo vino, la ha derramado. 

Llanto hay ya en mis ojos estoy dolido 
es que en mi pecho espinas dejaron 
tengo la tristeza de aquel niño 
que pidio ayuda y se la negaron. 

Como crees que yo me siento, señor 
como crees que yo me siento por Dios 
ya no se cuando hay luna o hay sol 
me confundio en el odio el dolor. 

Todo, todo por llevarla a mi vida 
todo, todo por meterla a mi alma 
puso el beso a Cristo en la mejilla 
como Judas al dolor me entregaba 
Y ahora tengo que vivir creido 




llevando flores negras en mis manos 
ni el norte ni el sur tienen sentido 
mis pasos todo lo han caminado. 

No pongas cadenas mi vida por que 
no tienes derecho es mi libertad 
no pongas cadenas al viento y al mar 
son libres y el cielo siempre lo seran 

No pongas cadenas mi vida
No pongas cadenas mi alma 

Noto el horizonte entristecido 
un sol mas alto el cielo ha cruzado 
alto como el aguila a su nido 
rota sus alas y seguia volando 

Molino de viento detenido 
no te detengas sigue girando 
yo me detuve un dia en el olvido 
y en el olvido solo he quedado 

Como crees que hoy me siento si yo 
siempre le rezaba a Dios por los dos
si yo puse lo mas lindo el amor
tus cenizas me brindaban dolor

Era ella lo mejor de mi vida 
era ella lo mejor de mi alma 
pero puso vidrios en mi camino 
fui descalzo y la arena se manchaba 

Y ahora tengo que vivir creido 
llevando flores negras en mis manos 
intente apagar el sol con frio
pero de tus manos sean quemado
   
No pongas cadenas mi vida por que 
no tienes derecho, es mi libertad 
no pongas cadenas al viento y al mar 
son libres y el cielo siempre lo seran

No pongas cadenas mi vida
No pongas cadenas mi alma 
"
